# 
x,y,rho,u,v,P,e_internal
0.865854,0.0609756,1,-0.0122616,-0.0051798,1.52572,2.5
0.890244,0.0609756,1,-0.0065112,-0.00301578,1.52451,2.5
0.914634,0.0609756,1,-0.00258202,-0.00101702,1.52341,2.5
0.939024,0.0609756,1,-0.000378615,0.000553053,1.52255,2.5
0.963415,0.0609756,1,0.000385407,0.00136803,1.52202,2.5
0.987805,0.0609756,1,0.00020305,0.00101539,1.5219,2.5
0.0121951,0.0853659,1,-0.0187228,-0.0788372,1.47845,2.5
0.0365854,0.0853659,1,-0.0478624,-0.122621,1.4708,2.5
0.0609756,0.0853659,1,-0.077532,-0.110649,1.47316,2.5
0.0853659,0.0853659,1,-0.0931138,-0.083287,1.4782,2.5
0.109756,0.0853659,1,-0.0978754,-0.0567631,1.48274,2.5
0.134146,0.0853659,1,-0.0975471,-0.0356148,1.48602,2.5
0.158537,0.0853659,1,-0.0961399,-0.0200287,1.48817,2.5
0.182927,0.0853659,1,-0.0957348,-0.00895304,1.48955,2.5
0.207317,0.0853659,1,-0.0971225,-0.0012233,1.49046,2.5
0.231707,0.0853659,1,-0.10039,0.00410059,1.4911,2.5
0.256098,0.0853659,1,-0.105247,0.00766661,1.49165,2.5
0.280488,0.0853659,1,-0.111311,0.00995004,1.49222,2.5
0.304878,0.0853659,1,-0.118183,0.0112708,1.49289,2.5
0.329268,0.0853659,1,-0.125479,0.0118352,1.49369,2.5
0.353659,0.0853659,1,-0.132847,0.0117718,1.49469,2.5
0.378049,0.0853659,1,-0.139963,0.0111594,1.49592,2.5
0.402439,0.0853659,1,-0.14653,0.0100472,1.49741,2.5
0.426829,0.0853659,1,-0.152273,0.00846925,1.49916,2.5
0.45122,0.0853659,1,-0.156939,0.00645542,1.5012,2.5
0.47561,0.0853659,1,-0.160299,0.00403912,1.50351,2.5
0.5,0.0853659,1,-0.162149,0.00126413,1.50607,2.5
0.52439,0.0853659,1,-0.162316,-0.00180855,1.50883,2.5
0.54878,0.0853659,1,-0.160656,-0.0051104,1.51169,2.5
0.573171,0.0853659,1,-0.157073,-0.00853864,1.51458,2.5
0.597561,0.0853659,1,-0.151526,-0.0119651,1.51742,2.5
0.621951,0.0853659,1,-0.144039,-0.0152398,1.5201,2.5
0.646341,0.0853659,1,-0.134708,-0.0181974,1.52251,2.5
0.670732,0.0853659,1,-0.123708,-0.0206661,1.52458,2.5
0.695122,0.0853659,1,-0.111297,-0.0224799,1.5262,2.5
0.719512,0.0853659,1,-0.0978114,-0.0234925,1.52733,2.5
0.743902,0.0853659,1,-0.0836602,-0.0235932,1.52794,2.5
0.768293,0.0853659,1,-0.0693146,-0.0227241,1.52803,2.5
0.792683,0.0853659,1,-0.0552848,-0.0208946,1.52767,2.5
0.817073,0.0853659,1,-0.042091,-0.0181921,1.52692,2.5
0.841463,0.0853659,1,-0.030225,-0.0147871,1.52591,2.5
0.865854,0.0853659,1,-0.0201063,-0.0109302,1.52474,2.5
0.890244,0.0853659,1,-0.0120346,-0.00694497,1.52355,2.5
0.914634,0.0853659,1,-0.00614745,-0.00322042,1.52246,2.5
0.939024,0.0853659,1,-0.00238689,-0.000210969,1.52157,2.5
0.963415,0.0853659,1,-0.00048085,0.00155039,1.52095,2.5
0.987805,0.0853659,1,6.02005e-05,0.00142149,1.52067,2.5
0.0121951,0.109756,1,-0.0109422,-0.0496976,1.49571,2.5
0.0365854,0.109756,1,-0.0283113,-0.0929511,1.48792,2.5
0.0609756,0.109756,1,-0.0539226,-0.0950673,1.48598,2.5
0.0853659,0.109756,1,-0.0744747,-0.0785254,1.48672,2.5
0.109756,0.109756,1,-0.0879088,-0.0570914,1.48816,2.5
0.134146,0.109756,1,-0.0963261,-0.037022,1.48947,2.5
