# x y x_over_c Cp side
0.570455 0.0356169 0.570455 -1.03896 U
0.28319 0.0537798 0.28319 -0.889224 U
0.68674 0.0230061 0.68674 -0.104178 U
0.656945 0.0264383 0.656945 -0.107533 U
0.767112 0.0131193 0.767112 -0.0688602 U
0.609243 0.0316567 0.609243 -0.107482 U
0.653965 0.0267732 0.653965 -0.106919 U
0.564485 0.036203 0.564485 -1.04073 U
0.612225 0.0313404 0.612225 -0.104655 U
0.694056 -0.0522733 0.694056 -0.170728 L
0.501766 0.0419582 0.501766 -1.02894 U
0.692697 0.0223028 0.692697 -0.102589 U
0.648004 0.0274395 0.648004 -0.106691 U
0.5615 0.0364941 0.5615 -1.04 U
0.226645 -0.0636704 0.226645 -0.59359 L
0.764137 0.0135014 0.764137 -0.0706323 U
0.61819 0.0307034 0.61819 -0.103093 U
0.621172 0.0303827 0.621172 -0.103483 U
0.639061 0.0284312 0.639061 -0.105635 U
0.504755 0.0417043 0.504755 -1.03 U
0.63608 0.0287595 0.63608 -0.105227 U
0.627135 0.0297373 0.627135 -0.104297 U
0.630117 0.0294126 0.630117 -0.10496 U
0.55553 0.0370719 0.55553 -1.03956 U
0.691065 -0.0524966 0.691065 -0.174029 L
0.598301 -0.0587497 0.598301 -0.260525 L
0.160903 -0.0581314 0.160903 -0.47571 L
0.552544 0.0373586 0.552544 -1.03868 U
0.169272 0.0514448 0.169272 -0.773604 U
0.758187 0.0142623 0.758187 -0.0740564 U
0.510731 0.0411895 0.510731 -1.0312 U
0.391534 -0.0668388 0.391534 -0.370192 L
0.546573 0.0379274 0.546573 -1.03831 U
0.513719 0.0409287 0.513719 -1.03153 U
0.595308 -0.0589292 0.595308 -0.264069 L
0.484474 -0.0643947 0.484474 -0.363013 L
0.540601 0.0384896 0.540601 -1.03677 U
0.677803 0.0240511 0.677803 -0.106675 U
0.519694 0.0404006 0.519694 -1.0325 U
0.8793 -0.0361435 0.8793 0.011371 L
0.537615 0.0387682 0.537615 -1.0361 U
0.700037 -0.0518232 0.700037 -0.165084 L
0.522681 0.0401334 0.522681 -1.03302 U
0.531642 0.0393199 0.531642 -1.03474 U
0.525668 0.0398642 0.525668 -1.03404 U
0.415033 0.0484374 0.415033 -0.993696 U
0.927035 -0.0312282 0.927035 0.0782666 L
0.959832 -0.0276559 0.959832 0.139012 L
0.580337 -0.0598001 0.580337 -0.275745 L
0.95387 -0.0283194 0.95387 0.126368 L
0.801666 -0.0434633 0.801666 -0.0734438 L
0.915105 -0.0324908 0.915105 0.0586285 L
0.749261 0.0153944 0.749261 -0.0794603 U
0.689719 0.0226551 0.689719 -0.103582 U
0.697047 -0.0520489 0.697047 -0.167941 L
0.876316 -0.0364409 0.876316 0.00745444 L
0.481477 -0.0645076 0.481477 -0.365897 L
0.924052 -0.031546 0.924052 0.0728938 L
0.604289 -0.0583858 0.604289 -0.254811 L
0.932999 -0.0305887 0.932999 0.088438 L
0.74331 0.0161427 0.74331 -0.0832874 U
0.505452 -0.0635561 0.505452 -0.347505 L
0.388535 -0.0668778 0.388535 -0.451937 L
0.695675 0.0219493 0.695675 -0.101728 U
0.956851 -0.0279886 0.956851 0.132595 L
0.944926 -0.0292993 0.944926 0.110154 L
0.798678 -0.0437282 0.798678 -0.0760355 L
0.577342 -0.0599687 0.577342 -0.277512 L
0.938963 -0.0299453 0.938963 0.0994117 L
0.859255 0.000715971 0.859255 0.00710262 U
0.238623 -0.0643459 0.238623 -0.618993 L
0.950889 -0.0286482 0.950889 0.120485 L
0.930017 -0.030909 0.930017 0.0832201 L
0.574348 -0.0601357 0.574348 -0.279325 L
0.734381 0.0172547 0.734381 -0.087801 U
0.532417 -0.062328 0.532417 -0.321033 L
0.935981 -0.0302674 0.935981 0.0938916 L
0.947908 -0.0289748 0.947908 0.115026 L
0.941944 -0.0296226 0.941944 0.104622 L
0.731405 0.0176225 0.731405 -0.0886539 U
0.701632 0.0212387 0.701632 -0.0997142 U
0.490468 -0.0641638 0.490468 -0.357416 L
0.601295 -0.0585685 0.601295 -0.258022 L
0.310559 -0.0667706 0.310559 -0.666539 L
0.42102 0.0480564 0.42102 -0.996059 U
0.707587 0.0205236 0.707587 -0.0976664 U
0.725451 0.0183537 0.725451 -0.0905457 U
0.710565 0.0201644 0.710565 -0.0962375 U
0.71652 0.0194429 0.71652 -0.0938247 U
0.80764 -0.0429291 0.80764 -0.0677189 L
0.571353 -0.0603014 0.571353 -0.281695 L
0.502455 -0.0636817 0.502455 -0.349037 L
0.292187 0.0536389 0.292187 -0.896359 U
0.107461 -0.050558 0.107461 -0.364625 L
0.709009 -0.0511396 0.709009 -0.156449 L
0.493465 -0.0640458 0.493465 -0.355264 L
0.523429 -0.0627556 0.523429 -0.33063 L
0.529421 -0.0624724 0.529421 -0.324209 L
0.487471 -0.0642801 0.487471 -0.361115 L
0.813614 -0.0423894 0.813614 -0.0616118 L
0.850345 0.00196262 0.850345 -0.000735268 U
0.610276 -0.0580155 0.610276 -0.247969 L
0.517437 -0.0630309 0.517437 -0.336895 L
0.511445 -0.0632979 0.511445 -0.343555 L
0.873331 -0.0367369 0.873331 0.003595 L
0.804653 -0.0431969 0.804653 -0.0706016 L
0.706018 -0.0513685 0.706018 -0.159072 L
0.71499 -0.0506786 0.71499 -0.150952 L
0.427005 0.047666 0.427005 -0.999381 U
0.810627 -0.04266 0.810627 -0.0647207 L
0.394533 -0.0667972 0.394533 -0.385728 L
0.568359 -0.0604659 0.568359 -0.283553 L
0.607282 -0.0582014 0.607282 -0.251568 L
0.844403 0.00278875 0.844403 -0.00629912 U
0.544399 -0.0617325 0.544399 -0.30949 L
0.520433 -0.0628943 0.520433 -0.333755 L
0.711999 -0.0509096 0.711999 -0.153601 L
0.870347 -0.0370316 0.870347 -0.000469175 L
0.802799 0.00845376 0.802799 -0.0439219 U
0.30756 -0.06672 0.30756 -0.660497 L
0.514441 -0.0631655 0.514441 -0.340014 L
0.429998 0.0474664 0.429998 -1.00168 U
0.796852 0.00924216 0.796852 -0.0482768 U
0.508448 -0.0634281 0.508448 -0.346024 L
0.235628 -0.0641851 0.235628 -0.610797 L
0.565364 -0.0606291 0.565364 -0.286209 L
0.790905 0.010025 0.790905 -0.0516988 U
0.550389 -0.0614247 0.550389 -0.302187 L
0.616262 -0.0576392 0.616262 -0.241518 L
0.480843 0.0436861 0.480843 -1.02685 U
0.316557 -0.0668606 0.316557 -0.675391 L
0.541403 -0.0618839 0.541403 -0.31181 L
0.244614 -0.0646517 0.244614 -0.628188 L
0.343151 0.0521634 0.343151 -0.935104 U
0.974733 -0.0259751 0.974733 0.18274 L
0.977714 -0.0256444 0.977714 0.193933 L
0.835491 0.0040213 0.835491 -0.0149186 U
0.652175 -0.0552732 0.652175 -0.208509 L
0.435982 0.0470586 0.435982 -1.00511 U
0.874102 -0.00139223 0.874102 0.0229639 L
0.832519 0.00443019 0.832519 -0.0177863 U
0.298184 0.0535228 0.298184 -0.902033 U
0.971753 -0.026312 0.971753 0.172831 L
0.474864 0.0441639 0.474864 -1.02531 U
0.613269 -0.0578281 0.613269 -0.244619 L
0.547394 -0.0615794 0.547394 -0.305797 L
