# 
x,y,rho,u,v,P,e_internal
0.7025,0.25,0.424105,0.927476,2.28301e-16,0.303146,0.940275
0.7075,0.25,0.423055,0.92747,1.75416e-16,0.303148,0.939825
0.7125,0.25,0.420762,0.927464,1.38952e-16,0.303148,0.938838
0.7175,0.25,0.415511,0.927463,1.06053e-16,0.303149,0.936583
0.7225,0.25,0.403954,0.92747,6.17109e-17,0.303152,0.931621
0.7275,0.25,0.380352,0.927482,5.16759e-17,0.303156,0.921484
0.7325,0.25,0.342147,0.927491,4.05899e-17,0.303158,0.905059
0.7375,0.25,0.300508,0.927489,3.80187e-17,0.303155,0.887143
0.7425,0.25,0.272867,0.927471,1.14452e-16,0.303148,0.875231
0.7475,0.25,0.266161,0.927441,2.21339e-16,0.303137,0.872311
0.7525,0.25,0.264405,0.92741,3.00199e-16,0.303125,0.871519
0.7575,0.25,0.264322,0.92739,2.99576e-16,0.303117,0.871458
0.7625,0.25,0.26491,0.927391,2.72037e-16,0.303117,0.87171
0.7675,0.25,0.265662,0.927414,2.47805e-16,0.303123,0.872056
0.7725,0.25,0.266183,0.92745,2.21623e-16,0.303134,0.872316
0.7775,0.25,0.266215,0.927481,2.06419e-16,0.303144,0.872363
0.7825,0.25,0.265806,0.927497,1.93737e-16,0.303149,0.872202
0.7875,0.25,0.26529,0.927493,2.12068e-16,0.303147,0.871975
0.7925,0.25,0.264973,0.927478,2.52391e-16,0.303141,0.87182
0.7975,0.25,0.265011,0.927461,3.13245e-16,0.303135,0.871818
0.8025,0.25,0.26532,0.927453,3.44759e-16,0.303132,0.87194
0.8075,0.25,0.265661,0.927454,3.25904e-16,0.303132,0.872086
0.8125,0.25,0.265842,0.92746,2.62791e-16,0.303133,0.872168
0.8175,0.25,0.265805,0.927465,1.66994e-16,0.303134,0.872156
0.8225,0.25,0.265636,0.927467,1.15117e-16,0.303134,0.872084
0.8275,0.25,0.265476,0.927469,1.27275e-16,0.303134,0.872015
0.8325,0.25,0.265418,0.927474,1.39485e-16,0.303134,0.871993
0.8375,0.25,0.265467,0.927483,1.52628e-16,0.303137,0.872022
0.8425,0.25,0.265567,0.927495,1.84019e-16,0.30314,0.872076
0.8475,0.25,0.265649,0.927508,2.52859e-16,0.303144,0.872124
0.8525,0.25,0.265679,0.927521,2.86088e-16,0.303147,0.872149
0.8575,0.25,0.26566,0.927534,3.00476e-16,0.303151,0.872155
0.8625,0.25,0.265621,0.927549,3.1704e-16,0.303156,0.872153
0.8675,0.25,0.265587,0.927564,3.47539e-16,0.303161,0.872155
0.8725,0.25,0.265575,0.927578,3.95814e-16,0.303165,0.872163
0.8775,0.25,0.265581,0.927585,4.70095e-16,0.303167,0.872173
0.8825,0.25,0.265594,0.927579,5.23772e-16,0.303166,0.872174
0.8875,0.25,0.265601,0.927562,5.14841e-16,0.30316,0.872157
0.8925,0.25,0.265597,0.927531,5.00146e-16,0.30315,0.872124
0.8975,0.25,0.265582,0.927494,4.01686e-16,0.303138,0.872078
0.9025,0.25,0.265559,0.927445,4.97305e-16,0.303121,0.872012
0.9075,0.25,0.265545,0.927404,3.46889e-16,0.303112,0.871973
0.9125,0.25,0.265555,0.927474,5.14546e-16,0.303131,0.872045
0.9175,0.25,0.265542,0.92742,3.65882e-16,0.303109,0.87197
0.9225,0.25,0.265253,0.926112,4.15865e-16,0.302672,0.87043
0.9275,0.25,0.263702,0.918773,3.71086e-16,0.300216,0.86184
0.9325,0.25,0.255854,0.880419,3.62718e-16,0.287694,0.818397
0.9375,0.25,0.220003,0.689595,2.65075e-16,0.232346,0.633175
0.9425,0.25,0.150839,0.22052,7.7228e-17,0.13286,0.335818
0.9475,0.25,0.126969,0.0168171,1.34312e-19,0.102236,0.255608
0.9525,0.25,0.12517,0.00160509,-9.66753e-19,0.100191,0.250477
0.9575,0.25,0.124987,-8.88723e-05,-6.11922e-18,0.099985,0.249962
0.9625,0.25,0.125002,1.34271e-05,-5.32067e-18,0.100002,0.250006
0.9675,0.25,0.125009,7.55727e-05,-6.70778e-18,0.10001,0.250025
0.9725,0.25,0.125,1.81204e-06,-4.72506e-18,0.1,0.250001
0.9775,0.25,0.124998,-1.74476e-05,8.19358e-19,0.0999977,0.249994
0.9825,0.25,0.125,2.35061e-06,4.45641e-18,0.1,0.250001
0.9875,0.25,0.125001,4.98146e-06,1.40931e-17,0.100001,0.250002
0.9925,0.25,0.125,-1.07701e-06,1.78502e-17,0.0999999,0.25
0.9975,0.25,0.125,-1.17708e-06,3.30202e-17,0.0999998,0.25
0.0025,0.75,1,6.10969e-08,9.64118e-18,1,2.5
0.0075,0.75,1,9.23953e-08,2.00751e-17,1,2.5
0.0125,0.75,1,-3.73227e-08,1.81477e-17,1,2.5
0.0175,0.75,1,-2.12443e-07,1.95688e-17,1,2.5
0.0225,0.75,1,-1.65402e-07,9.32365e-18,1,2.5
0.0275,0.75,1,2.08598e-07,1.12155e-17,1,2.5
0.0325,0.75,1,5.38968e-07,1.64091e-18,0.999999,2.5
0.0375,0.75,1,2.36552e-07,3.84803e-18,1,2.5
0.0425,0.75,1,-6.9514e-07,1.26299e-17,1,2.5
0.0475,0.75,1,-1.23094e-06,6.41266e-18,1,2.5
0.0525,0.75,1,-2.29326e-07,2.66673e-18,1,2.5
0.0575,0.75,0.999998,1.86659e-06,-1.62847e-17,0.999998,2.49999
0.0625,0.75,0.999998,2.64531e-06,-1.96399e-17,0.999997,2.49999
0.0675,0.75,1,5.51056e-08,-1.70375e-17,1,2.5
0.0725,0.75,1,-4.37659e-06,-5.01154e-18,1.00001,2.50001
0.0775,0.75,1,-5.56351e-06,-1.67869e-18,1.00001,2.50002
0.0825,0.75,1,1.37638e-07,1.19444e-18,1,2.5
0.0875,0.75,0.999992,9.19918e-06,-5.47329e-18,0.999989,2.49997
0.0925,0.75,0.99999,1.17449e-05,-1.30562e-17,0.999986,2.49997
0.0975,0.75,0.999999,9.28569e-07,-1.42487e-17,0.999999,2.5
0.1025,0.75,1.00001,-1.71336e-05,-1.31939e-17,1.00002,2.50005
0.1075,0.75,1.00002,-2.47368e-05,-1.72638e-17,1.00003,2.50007
0.1125,0.75,1.00001,-7.98882e-06,-1.09029e-17,1.00001,2.50002
0.1175,0.75,0.999978,2.61986e-05,-1.16497e-17,0.999969,2.49992
0.1225,0.75,0.999958,4.95442e-05,6.55517e-19,0.999941,2.49985
0.1275,0.75,0.999972,3.35187e-05,-1.41236e-17,0.99996,2.4999
0.1325,0.75,1.00002,-2.29217e-05,-2.02926e-18,1.00003,2.50007
0.1375,0.75,1.00007,-8.39985e-05,-2.34287e-17,1.0001,2.50025
0.1425,0.75,1.00008,-9.73521e-05,-4.00607e-17,1.00012,2.50029
0.1475,0.75,1.00003,-3.21948e-05,-5.4874e-17,1.00004,2.5001
0.1525,0.75,0.999922,9.18447e-05,-6.97953e-17,0.999891,2.49973
0.1575,0.75,0.999825,0.000207244,-6.84414e-17,0.999755,2.49939
0.1625,0.75,0.999806,0.000229279,-7.4799e-17,0.999729,2.49932
0.1675,0.75,0.999912,0.000104022,-6.16526e-17,0.999877,2.49969
0.1725,0.75,1.00013,-0.000149647,-6.58699e-17,1.00018,2.50044
0.1775,0.75,1.00036,-0.000428765,-5.48722e-17,1.00051,2.50127
0.1825,0.75,1.00046,-0.000547099,-5.6263e-17,1.00065,2.50162
0.1875,0.75,1.00017,-0.00020936,-4.95471e-17,1.00024,2.50061
0.1925,0.75,0.999038,0.00113529,-3.95054e-17,0.998654,2.49663
0.1975,0.75,0.995596,0.00521968,-3.46546e-17,0.993841,2.48462
0.2025,0.75,0.988965,0.0131141,-3.52919e-17,0.984587,2.46155
0.2075,0.75,0.979875,0.0240051,-4.2106e-17,0.971943,2.43014
0.2125,0.75,0.969202,0.0368975,-5.75854e-17,0.957155,2.39355
0.2175,0.75,0.95761,0.0510297,-6.66881e-17,0.941167,2.35416
0.2225,0.75,0.945521,0.0659132,-7.04247e-17,0.924575,2.31349
0.2275,0.75,0.933181,0.0812633,-9.30707e-17,0.907726,2.2724
0.2325,0.75,0.920731,0.0969164,-9.89375e-17,0.890817,2.23137
0.2375,0.75,0.908253,0.112775,-9.93694e-17,0.873961,2.19068
0.2425,0.75,0.895798,0.12878,-1.01912e-16,0.857228,2.1505
0.2475,0.75,0.883398,0.144892,-1.08014e-16,0.840662,2.11093
0.2525,0.75,0.871076,0.161084,-1.03487e-16,0.82429,2.07203
0.2575,0.75,0.858844,0.177338,-9.63447e-17,0.808131,2.03383
0.2625,0.75,0.846714,0.193642,-9.71823e-17,0.792197,1.99637
0.2675,0.75,0.834692,0.209985,-9.75213e-17,0.776495,1.95964
0.2725,0.75,0.822784,0.226361,-9.92408e-17,0.761029,1.92365
0.2775,0.75,0.810992,0.242765,-1.12324e-16,0.745803,1.88841
0.2825,0.75,0.799319,0.259192,-1.02028e-16,0.730818,1.85389
0.2875,0.75,0.787766,0.27564,-9.92968e-17,0.716073,1.82011
0.2925,0.75,0.776335,0.292106,-5.34843e-17,0.701567,1.78704
0.2975,0.75,0.765026,0.308588,8.25235e-18,0.687301,1.75468
0.3025,0.75,0.753839,0.325085,4.06588e-17,0.673272,1.72301
0.3075,0.75,0.742775,0.341596,6.78582e-17,0.659477,1.69203
0.3125,0.75,0.731832,0.358119,1.33031e-16,0.645915,1.66172
0.3175,0.75,0.721011,0.374653,2.13828e-16,0.632584,1.63206
0.3225,0.75,0.710312,0.391199,2.91653e-16,0.619481,1.60305
